ds,y_forecast
2018-10-18,40.05733333333333
2018-10-19,40.05733333333333
2018-10-20,40.05733333333333
2018-10-21,40.05733333333333
2018-10-22,40.05733333333333
2018-10-23,40.05733333333333
2018-10-24,40.05733333333333
2018-10-25,40.05733333333333
2018-10-26,40.05733333333333
2018-10-27,40.05733333333333
2018-10-28,40.05733333333333
2018-10-29,40.05733333333333
2018-10-30,40.05733333333333
2018-10-31,40.05733333333333
2018-11-01,40.05733333333333
2018-11-02,40.05733333333333
2018-11-03,40.05733333333333
2018-11-04,40.05733333333333
2018-11-05,40.05733333333333
2018-11-06,40.05733333333333
2018-11-07,40.05733333333333
2018-11-08,40.05733333333333
2018-11-09,40.05733333333333
2018-11-10,40.05733333333333
2018-11-11,40.05733333333333
2018-11-12,40.05733333333333
2018-11-13,40.05733333333333
2018-11-14,40.05733333333333
2018-11-15,40.05733333333333
2018-11-16,40.05733333333333
